Customer_ID,Age,Income,Credit_Score,Credit_Utilization,Missed_Payments,Delinquent_Account,Loan_Balance,Debt_to_Income_Ratio,Employment_Status,Account_Tenure,Credit_Card_Type,Location,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Age_Group
cust0001,56,165580.0,398.0,0.390501929,3,0,16310.0,0.317396115,emp,18,student,los angeles,late,late,missed,late,missed,late,Senior
cust0002,69,100999.0,493.0,0.312444033,6,1,17401.0,0.196092643,self-employed,0,standard,phoenix,missed,missed,late,missed,on-time,on-time,Retired
cust0003,46,188416.0,500.0,0.359930239,0,0,13761.0,0.30165494,self-employed,1,platinum,chicago,missed,late,late,on-time,missed,late,Mid Career
cust0004,32,101672.0,413.0,0.371400355,3,0,88778.0,0.264794439,unemployed,15,platinum,phoenix,late,missed,late,missed,late,late,Early Career
cust0005,60,38524.0,487.0,0.234715863,2,0,13316.0,0.510583483,self-employed,11,standard,phoenix,missed,on-time,missed,late,late,late,Senior
cust0006,25,84042.0,700.0,0.65054043,6,0,48361.0,0.260687881,unemployed,7,gold,new york,on-time,late,missed,missed,missed,late,Young
cust0007,38,35056.0,354.0,0.390580941,3,0,4638.0,0.484265137,employed,17,platinum,new york,on-time,missed,missed,late,missed,late,Mid Career
cust0008,56,123215.0,415.0,0.532714667,5,0,55776.0,0.358695229,emp,1,student,new york,on-time,on-time,on-time,late,missed,late,Senior
cust0009,36,66991.0,405.0,0.413034848,5,1,45776.0,0.219854103,employed,12,student,phoenix,on-time,on-time,on-time,missed,late,on-time,Mid Career
cust0010,40,34870.0,679.0,0.361823918,4,0,93922.0,0.333081093,emp,5,business,los angeles,on-time,missed,missed,on-time,missed,missed,Mid Career
cust0011,28,42532.0,340.0,0.834455847,4,0,82909.0,0.269559025,unemployed,5,student,chicago,on-time,late,missed,missed,on-time,late,Early Career
cust0012,28,70479.0,679.0,0.684586436,3,0,75777.0,0.324215749,unemployed,8,business,chicago,on-time,missed,missed,late,on-time,late,Early Career
cust0013,41,56975.0,320.0,0.12635992,0,0,15171.0,0.228610901,emp,15,standard,los angeles,late,late,missed,late,on-time,on-time,Mid Career
cust0014,70,117023.0,528.0,0.10517251,5,0,95136.0,0.469017763,retired,10,standard,los angeles,on-time,missed,missed,missed,on-time,on-time,Retired
cust0015,53,143148.0,617.0,0.708521767,0,0,2593.0,0.392539809,unemployed,6,standard,chicago,late,missed,late,late,late,late,Senior
cust0016,57,159356.0,601.0,0.396029322,0,0,1514.0,0.303178157,self-employed,9,gold,houston,missed,on-time,late,missed,missed,late,Senior
cust0017,41,146484.0,543.0,0.170183533,3,0,74039.0,0.472911477,self-employed,9,gold,new york,late,missed,on-time,missed,missed,late,Mid Career
cust0018,20,183152.0,823.0,0.709147027,0,1,28018.0,0.307427924,unemployed,19,business,new york,on-time,on-time,late,late,on-time,late,Young
cust0019,39,81040.0,831.0,0.53382481,5,0,16034.0,0.409762496,unemployed,17,student,chicago,missed,on-time,on-time,late,on-time,missed,Mid Career
cust0020,70,181319.0,486.0,0.550314217,2,0,2420.0,0.303830059,retired,19,student,los angeles,late,missed,late,late,late,missed,Retired
cust0021,19,199402.0,783.0,0.661907854,4,0,43942.0,0.339388759,self-employed,8,standard,houston,late,late,on-time,on-time,on-time,late,Young
cust0022,41,40351.0,690.0,0.238004568,2,1,2200.0,0.291856122,unemployed,14,platinum,chicago,missed,missed,on-time,on-time,late,missed,Mid Career
cust0023,61,154487.0,321.0,0.173699836,0,0,81757.0,0.309530135,unemployed,3,gold,new york,late,on-time,on-time,on-time,late,on-time,Senior
cust0024,47,108468.0,538.0,0.816190859,2,1,45776.0,0.317053186,retired,7,gold,phoenix,late,late,late,on-time,late,late,Mid Career
cust0025,55,41646.0,847.0,0.212566648,5,0,28018.0,0.233026817,retired,8,standard,los angeles,on-time,missed,missed,missed,late,late,Senior
cust0026,19,193998.0,515.0,0.255552441,5,0,45776.0,0.259893133,emp,12,gold,phoenix,late,missed,on-time,late,missed,on-time,Young
cust0027,38,89740.0,789.0,0.295512924,0,0,89660.0,0.278324498,retired,8,standard,chicago,missed,on-time,missed,missed,missed,on-time,Mid Career
cust0028,50,136790.0,525.0,0.915989185,3,0,43870.0,0.322971102,employed,3,business,new york,missed,on-time,late,late,missed,on-time,Mid Career
cust0029,29,86726.0,588.0,0.59867666,2,0,45776.0,0.296942098,self-employed,16,student,houston,late,late,missed,on-time,late,on-time,Early Career
cust0030,39,88523.0,523.0,0.693081595,3,0,29561.0,0.417303253,emp,15,platinum,phoenix,late,on-time,on-time,on-time,late,on-time,Mid Career
cust0031,61,72458.0,374.0,0.539233509,3,0,60530.0,0.384711832,employed,14,student,houston,on-time,missed,late,missed,on-time,missed,Senior
cust0032,42,60106.0,385.0,0.379622558,1,0,46663.0,0.280367244,unemployed,2,student,new york,on-time,late,late,on-time,on-time,missed,Mid Career
cust0033,66,106362.0,806.0,0.626258257,0,1,11308.0,0.43817839,unemployed,19,business,phoenix,late,late,late,late,late,on-time,Retired
cust0034,44,99076.0,440.0,0.188676806,4,0,99005.0,0.487302062,emp,4,gold,houston,missed,late,late,missed,on-time,missed,Mid Career
cust0035,59,69693.0,316.0,0.28094331,5,1,60278.0,0.1,retired,4,platinum,houston,on-time,missed,late,late,on-time,late,Senior
cust0036,45,137402.0,464.0,0.646595036,5,0,65119.0,0.393229009,unemployed,19,gold,phoenix,missed,missed,missed,on-time,on-time,on-time,Mid Career
cust0037,33,53756.0,521.0,0.228548954,0,0,36029.0,0.23070158,employed,14,student,new york,late,missed,missed,on-time,on-time,missed,Early Career
cust0038,32,181319.0,467.0,0.462183706,6,0,62010.0,0.380074802,emp,17,standard,houston,missed,on-time,on-time,on-time,missed,on-time,Early Career
cust0039,64,183152.0,823.0,0.471297531,6,0,87164.0,0.423823794,employed,14,student,chicago,late,on-time,late,missed,missed,on-time,Senior
cust0040,68,97750.0,352.0,0.394267599,6,0,91432.0,0.212300741,emp,1,gold,phoenix,on-time,late,late,on-time,on-time,on-time,Retired
cust0041,61,107658.0,372.0,0.109776305,4,0,44454.0,0.11476729,self-employed,12,student,los angeles,late,missed,late,on-time,late,late,Senior
cust0042,72,81617.0,359.0,0.374214222,5,0,11564.0,0.383543409,retired,3,standard,los angeles,late,on-time,late,on-time,missed,missed,Retired
cust0043,69,107658.0,792.0,0.335006325,0,1,11155.0,0.313540248,retired,9,business,new york,on-time,late,late,late,missed,missed,Retired
cust0044,74,66991.0,601.0,0.532287973,5,0,31198.0,0.133156125,emp,12,gold,chicago,on-time,late,on-time,missed,missed,late,Retired
cust0045,20,106267.0,751.0,0.522098108,3,0,86447.0,0.552956451,unemployed,9,student,houston,on-time,missed,on-time,late,on-time,late,Young
cust0046,54,59238.0,401.0,0.575592292,2,1,45776.0,0.362441941,unemployed,8,gold,los angeles,on-time,late,missed,missed,late,on-time,Senior
cust0047,68,153311.0,326.0,0.364802745,2,0,5626.0,0.367010004,employed,7,business,new york,missed,missed,on-time,late,missed,late,Retired
cust0048,24,146800.0,637.0,0.60455559,5,0,2687.0,0.436581775,employed,2,student,chicago,on-time,late,on-time,missed,on-time,on-time,Young
cust0049,38,97750.0,691.0,0.188798653,1,0,63375.0,0.241917605,retired,15,student,chicago,late,on-time,on-time,on-time,missed,late,Mid Career
cust0050,26,118033.0,469.0,0.135619053,4,0,92865.0,0.313045411,employed,13,gold,new york,late,missed,missed,late,on-time,missed,Early Career
cust0051,56,169865.0,336.0,0.05,6,0,92183.0,0.168067809,employed,8,gold,new york,missed,late,on-time,late,late,on-time,Senior
cust0052,35,109074.0,383.0,0.400140552,4,0,45776.0,0.239205155,employed,10,standard,houston,late,missed,late,late,missed,on-time,Early Career
cust0053,21,185806.0,823.0,0.349340355,4,0,45776.0,0.338566,employed,2,business,new york,missed,missed,late,on-time,on-time,missed,Young
cust0054,42,194819.0,339.0,0.657863122,3,0,29427.0,0.133471533,employed,4,standard,houston,late,missed,on-time,on-time,on-time,missed,Mid Career
cust0055,31,90353.0,711.0,0.370267483,4,0,69342.0,0.236371045,retired,9,student,houston,late,on-time,on-time,on-time,late,late,Early Career
cust0056,67,198401.0,715.0,0.55467527,2,0,17401.0,0.207206604,retired,12,gold,phoenix,on-time,late,late,on-time,late,late,Retired
cust0057,26,76629.0,673.0,0.662659315,3,0,35372.0,0.314209225,employed,3,student,chicago,on-time,late,late,late,missed,on-time,Early Career
cust0058,43,107193.0,843.0,0.362736185,0,0,70793.0,0.357470126,emp,12,student,chicago,missed,missed,missed,missed,late,on-time,Mid Career
cust0059,70,81040.0,401.0,0.559610442,4,0,63443.0,0.37421528,retired,11,platinum,chicago,late,missed,missed,missed,late,missed,Retired
cust0060,19,107658.0,538.0,0.70038551,4,0,37445.0,0.399881664,emp,4,platinum,phoenix,on-time,late,missed,late,missed,on-time,Young
cust0061,37,140899.0,826.0,0.252367445,0,1,64950.0,0.437211685,unemployed,9,student,houston,on-time,missed,late,missed,missed,on-time,Mid Career
cust0062,45,184160.0,475.0,0.504970468,4,0,49893.0,0.360724545,employed,8,gold,houston,late,missed,on-time,on-time,missed,missed,Mid Career
cust0063,64,155507.0,801.0,0.363593123,0,0,81202.0,0.48873359,retired,19,student,new york,missed,late,late,on-time,late,on-time,Senior
cust0064,24,109074.0,739.0,0.265102024,3,0,54247.0,0.311950252,self-employed,6,platinum,phoenix,missed,missed,missed,missed,on-time,missed,Young
cust0065,61,43251.0,773.0,0.192709652,2,0,86488.0,0.282667885,unemployed,1,gold,new york,on-time,missed,late,on-time,on-time,late,Senior
cust0066,25,117634.0,815.0,0.261870286,0,0,95267.0,0.360730736,emp,6,student,phoenix,missed,on-time,missed,missed,late,missed,Young
cust0067,64,107658.0,612.0,0.512005801,1,0,99005.0,0.278358883,retired,7,business,new york,on-time,late,on-time,missed,on-time,on-time,Senior
cust0068,52,172164.0,600.0,0.177831109,0,0,7468.0,0.485256473,employed,6,business,los angeles,missed,missed,on-time,late,late,missed,Senior
cust0069,31,107658.0,796.0,0.389854595,4,0,85026.0,0.413098347,employed,13,student,chicago,missed,late,missed,late,late,missed,Early Career
cust0070,34,81617.0,822.0,0.662638881,6,0,24917.0,0.375027814,self-employed,18,gold,chicago,late,missed,on-time,on-time,on-time,missed,Early Career
cust0071,53,196415.0,797.0,0.589802193,6,1,77348.0,0.313141934,emp,4,student,houston,on-time,on-time,missed,missed,on-time,late,Senior
cust0072,67,159572.0,371.0,0.393898475,3,0,16310.0,0.259252283,unemployed,17,student,los angeles,missed,on-time,on-time,missed,on-time,on-time,Retired
cust0073,57,136465.0,567.0,0.837938083,5,0,95303.0,0.3701325,employed,19,platinum,chicago,late,late,missed,on-time,on-time,missed,Senior
